date,value,inverted_pct
2018-04-01,250.227,0.0039963712948642635
2018-05-01,250.792,0.0039873680181186
2018-06-01,251.018,0.0039837780557569575
2018-07-01,251.214,0.00398066986712524
2018-08-01,251.663,0.00397356782681602
2018-09-01,252.182,0.003965390075421719
2018-10-01,252.772,0.003956134381972687
2018-11-01,252.594,0.003958922223014007
2018-12-01,252.767,0.003956212638516895
2019-01-01,252.561,0.003959439501744133
2019-02-01,253.319,0.003947591771639712
2019-03-01,254.277,0.003932719042618877
2019-04-01,255.233,0.003917988661340814
2019-05-01,255.296,0.003917021809977438
2019-06-01,255.213,0.003918295698103153
2019-07-01,255.802,0.003909273578783591
2019-08-01,256.036,0.003905700760830508
2019-09-01,256.43,0.0038996997231213197
2019-10-01,257.155,0.0038887052555851534
2019-11-01,257.879,0.0038777876445930063
2019-12-01,258.63,0.0038665274716776863
2020-01-01,259.127,0.00385911155533773
2020-02-01,259.25,0.003857280617164899
2020-03-01,258.076,0.003874827570173127
2020-04-01,256.032,0.003905761779777528
2020-05-01,255.802,0.003909273578783591
2020-06-01,257.042,0.003890414796025553
2020-07-01,258.352,0.003870688053508392
2020-08-01,259.316,0.0038562988785882865
2020-09-01,259.997,0.0038461982253641387
2020-10-01,260.319,0.0038414406939178466
2020-11-01,260.911,0.003832724568914304
2020-12-01,262.045,0.0038161384495029476
2021-01-01,262.639,0.0038075076435715944
2021-02-01,263.573,0.0037940153202338633
2021-03-01,264.847,0.003775764875569669
2021-04-01,266.625,0.003750586029067042
2021-05-01,268.404,0.0037257268893161055
2021-06-01,270.71,0.0036939898784677334
2021-07-01,271.965,0.0036769437243762988
2021-08-01,272.752,0.0036663342523611192
2021-09-01,273.942,0.003650407750545736
2021-10-01,276.528,0.0036162703234392177
2021-11-01,278.824,0.0035864918371445783
2021-12-01,280.806,0.0035611774677179265
2022-01-01,282.542,0.003539296812509291
2022-02-01,284.525,0.0035146296459010636
2022-03-01,287.467,0.0034786601592530623
2022-04-01,288.582,0.0034652195909654795
2022-05-01,291.299,0.0034328988427698003
2022-06-01,295.072,0.003389003361891335
2022-07-01,294.94,0.0033905201057842275
2022-08-01,295.162,0.0033879699961377146
2022-09-01,296.421,0.003373580144456702
2022-10-01,297.979,0.003355941190486578
2022-11-01,298.708,0.0033477509808910373
